laua,region_name,year,population,population_growth_pct,net_additions,price,pop_change,hpi
E06000001,North East,2015,2611804.0,0.05064198872086756,7170.0,124000.0,1322.6694870911676,0.18447273181187834
E06000001,North East,2016,2618253.0,0.2469174562869103,9837.0,119950.0,6464.923706755718,0.6572048090633036
E06000001,North East,2017,2623787.0,0.21136230914278187,9141.0,124950.0,5545.696790188122,0.606683819077576
E06000001,North East,2018,2629393.0,0.2136606363245086,9418.0,125000.0,5617.977815272086,0.5965149517171465
E06000001,North East,2019,2636676.0,0.2769840795955547,8986.0,129950.0,7303.172750516888,0.8127278823188169
E06000001,North East,2020,2637426.0,0.0284449056311864,7143.0,133000.0,750.2133367923742,0.10502776659560048
E06000001,North East,2021,2647493.0,0.3816979130409681,8926.0,137250.0,10105.425528905718,1.1321337137469996
E06000001,North East,2022,2684586.0,1.4010613059222354,9339.0,148000.0,37612.6956702055,4.027486419338848
E06000001,North East,2023,2724805.0,1.498145337865875,7937.0,151497.5,40821.53907343625,5.143195045160168
E06000001,North East,2024,2760678.0,1.3165345777037318,8337.0,152747.5,36345.28044905983,4.359515467081663
E06000002,North East,2015,2611804.0,0.05064198872086756,7170.0,129750.0,1322.6694870911676,0.18447273181187834
E06000002,North East,2016,2618253.0,0.2469174562869103,9837.0,130000.0,6464.923706755718,0.6572048090633036
E06000002,North East,2017,2623787.0,0.21136230914278187,9141.0,125750.0,5545.696790188122,0.606683819077576
E06000002,North East,2018,2629393.0,0.2136606363245086,9418.0,133500.0,5617.977815272086,0.5965149517171465
E06000002,North East,2019,2636676.0,0.2769840795955547,8986.0,135997.5,7303.172750516888,0.8127278823188169
E06000002,North East,2020,2637426.0,0.0284449056311864,7143.0,134000.0,750.2133367923742,0.10502776659560048
E06000002,North East,2021,2647493.0,0.3816979130409681,8926.0,141995.0,10105.425528905718,1.1321337137469996
E06000002,North East,2022,2684586.0,1.4010613059222354,9339.0,150000.0,37612.6956702055,4.027486419338848
E06000002,North East,2023,2724805.0,1.498145337865875,7937.0,152000.0,40821.53907343625,5.143195045160168
E06000002,North East,2024,2760678.0,1.3165345777037318,8337.0,154000.0,36345.28044905983,4.359515467081663
E06000003,North East,2015,2611804.0,0.05064198872086756,7170.0,127500.0,1322.6694870911676,0.18447273181187834
E06000003,North East,2016,2618253.0,0.2469174562869103,9837.0,130000.0,6464.923706755718,0.6572048090633036
E06000003,North East,2017,2623787.0,0.21136230914278187,9141.0,130000.0,5545.696790188122,0.606683819077576
E06000003,North East,2018,2629393.0,0.2136606363245086,9418.0,132000.0,5617.977815272086,0.5965149517171465
E06000003,North East,2019,2636676.0,0.2769840795955547,8986.0,131000.0,7303.172750516888,0.8127278823188169
E06000003,North East,2020,2637426.0,0.0284449056311864,7143.0,136569.0,750.2133367923742,0.10502776659560048
E06000003,North East,2021,2647493.0,0.3816979130409681,8926.0,145000.0,10105.425528905718,1.1321337137469996
E06000003,North East,2022,2684586.0,1.4010613059222354,9339.0,156000.0,37612.6956702055,4.027486419338848
E06000003,North East,2023,2724805.0,1.498145337865875,7937.0,160000.0,40821.53907343625,5.143195045160168
E06000003,North East,2024,2760678.0,1.3165345777037318,8337.0,165000.0,36345.28044905983,4.359515467081663
E06000004,North East,2015,2611804.0,0.05064198872086756,7170.0,135000.0,1322.6694870911676,0.18447273181187834
E06000004,North East,2016,2618253.0,0.2469174562869103,9837.0,137500.0,6464.923706755718,0.6572048090633036
E06000004,North East,2017,2623787.0,0.21136230914278187,9141.0,144000.0,5545.696790188122,0.606683819077576
E06000004,North East,2018,2629393.0,0.2136606363245086,9418.0,145250.0,5617.977815272086,0.5965149517171465
E06000004,North East,2019,2636676.0,0.2769840795955547,8986.0,149995.0,7303.172750516888,0.8127278823188169
E06000004,North East,2020,2637426.0,0.0284449056311864,7143.0,156000.0,750.2133367923742,0.10502776659560048
E06000004,North East,2021,2647493.0,0.3816979130409681,8926.0,159950.0,10105.425528905718,1.1321337137469996
E06000004,North East,2022,2684586.0,1.4010613059222354,9339.0,165000.0,37612.6956702055,4.027486419338848
E06000004,North East,2023,2724805.0,1.498145337865875,7937.0,173500.0,40821.53907343625,5.143195045160168
E06000004,North East,2024,2760678.0,1.3165345777037318,8337.0,177500.0,36345.28044905983,4.359515467081663
E06000005,North East,2015,2611804.0,0.05064198872086756,7170.0,131000.0,1322.6694870911676,0.18447273181187834
E06000005,North East,2016,2618253.0,0.2469174562869103,9837.0,132500.0,6464.923706755718,0.6572048090633036
E06000005,North East,2017,2623787.0,0.21136230914278187,9141.0,138000.0,5545.696790188122,0.606683819077576
E06000005,North East,2018,2629393.0,0.2136606363245086,9418.0,141000.0,5617.977815272086,0.5965149517171465
E06000005,North East,2019,2636676.0,0.2769840795955547,8986.0,143000.0,7303.172750516888,0.8127278823188169
E06000005,North East,2020,2637426.0,0.0284449056311864,7143.0,153000.0,750.2133367923742,0.10502776659560048
E06000005,North East,2021,2647493.0,0.3816979130409681,8926.0,160000.0,10105.425528905718,1.1321337137469996
E06000005,North East,2022,2684586.0,1.4010613059222354,9339.0,165995.0,37612.6956702055,4.027486419338848
E06000005,North East,2023,2724805.0,1.498145337865875,7937.0,164475.0,40821.53907343625,5.143195045160168
E06000005,North East,2024,2760678.0,1.3165345777037318,8337.0,167750.0,36345.28044905983,4.359515467081663
E06000006,North West,2015,7182651.0,0.5819134765867817,17581.0,128000.0,41796.81414519524,2.377385481212402
E06000006,North West,2016,7234141.0,0.7168662378277846,22378.0,135000.0,51859.114425857275,2.3174150695261986
E06000006,North West,2017,7275765.0,0.5753827579528803,24006.0,140000.0,41863.49731917038,1.7438764191939675
E06000006,North West,2018,7316116.0,0.5545946027668558,27764.0,139950.0,40574.78446816238,1.4614171037372994
E06000006,North West,2019,7363267.0,0.6444813067480126,31260.0,150000.0,47454.87938094519,1.51807035767579
E06000006,North West,2020,7380605.0,0.2354661320851159,26435.0,155000.0,17378.82511798067,0.6574172543211904
E06000006,North West,2021,7424092.0,0.5892064403934416,26754.0,162000.0,43743.22820473427,1.6350163790361916
E06000006,North West,2022,7526285.0,1.376505032534614,25375.0,173000.0,103599.69178789777,4.0827464743999125
E06000006,North West,2023,7634293.0,1.4350771994416922,26881.0,172500.0,109557.99818157314,4.075666760223695
E06000006,North West,2024,7737414.0,1.3507603127100198,25195.0,187500.0,104513.91754206886,4.148200735942403
