fraction,n_rows,r2,mae_gbp
0.01,64560,0.7152235186759424,72796.51154835966
0.05,322801,0.7209389051750765,71795.96338456169
0.1,645603,0.7251663180475256,71142.04552001158
0.25,1614009,0.7246332308114807,71231.93828341851
0.5,3228019,0.7254758158598222,71073.36947986159
0.75,4842029,0.7258119275717174,71020.32113307364
1.0,6456039,0.7269389604816558,70864.97908544508
